"Label (Grouping)","HOUSEHOLD INCOME","HOUSEHOLD INCOME!!All households","HOUSEHOLD INCOME!!All households!!With earnings","HOUSEHOLD INCOME!!All households!!With earnings!!With wages or salary income","HOUSEHOLD INCOME!!All households!!With earnings!!With self-employment income","HOUSEHOLD INCOME!!All households!!With interest, dividends, or net rental income","HOUSEHOLD INCOME!!All households!!With Social Security income","HOUSEHOLD INCOME!!All households!!With Supplemental Security Income (SSI)","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP!!With cash public assistance","HOUSEHOLD INCOME!!All households!!With retirement income","HOUSEHOLD INCOME!!All households!!With other types of income","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
"        Margin of Error","","±2,435","±4.1","±4.5","±3.4","±4.8","±4.8","±2.2","±4.3","±1.4","±3.5","±4.1","","±1,928","N","N","N","N","N","N","","±6,679","","±5.9","±2.4","±0.8","±1.8","±0.5","±2.2","±4.5","±4.9","±6.1"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","74,727","74,573","72,458","59,362","21,537","19,192","12,366","(X)","9,078","23,147","21,125","","79,254","N","N","N","N","N","N","","30,190","","33,474","12,276","24,770","35,808","N","35,084","22,703","28,594","33,608"
"        Margin of Error","","±8,564","±9,982","±9,843","±23,581","±15,440","±1,709","±2,560","(X)","±4,350","±5,304","±4,321","","±11,524","N","N","N","N","N","N","","±3,278","","±3,992","±7,278","±13,356","±15,521","N","±17,967","±8,288","±7,605","±4,262"
"Mount Diablo Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","99,795","80,474","78,267","14,080","25,323","28,057","4,954","11,256","4,469","25,835","16,712","","69,722","8,169","21,246","22,580","8,556","6,061","3,110","","266,683","","130,967","13,842","3,008","41,075","920","31,421","45,450","69,908","121,280"
"        Margin of Error","","±3,329","±2,874","±2,728","±1,926","±2,524","±2,708","±1,253","±2,129","±1,226","±2,473","±2,251","","±3,098","±1,459","±2,224","±2,804","±1,661","±1,352","±915","","±7,706","","±6,422","±3,215","±1,756","±4,935","±1,055","±5,425","±6,013","±6,850","±6,088"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","99,795","80.6%","78.4%","14.1%","25.4%","28.1%","5.0%","11.3%","4.5%","25.9%","16.7%","","69,722","11.7%","30.5%","32.4%","12.3%","8.7%","4.5%","","266,683","","49.1%","5.2%","1.1%","15.4%","0.3%","11.8%","17.0%","26.2%","45.5%"
"        Margin of Error","","±3,329","±1.7","±1.9","±1.9","±2.2","±2.4","±1.3","±2.1","±1.2","±2.3","±2.3","","±3,098","±2.0","±3.2","±3.6","±2.4","±1.9","±1.3","","±7,706","","±2.3","±1.2","±0.7","±1.8","±0.4","±2.0","±2.1","±2.3","±2.3"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","138,191","136,057","130,159","54,112","31,803","21,656","11,365","(X)","10,673","40,388","16,837","","153,590","83,303","121,960","207,197","121,704","204,274","154,036","","51,999","","62,548","52,473","32,409","54,785","N","35,676","32,302","32,153","65,226"
"        Margin of Error","","±7,043","±7,093","±6,498","±11,336","±9,545","±1,229","±2,061","(X)","±3,265","±6,448","±2,906","","±9,413","±10,754","±16,288","±19,418","±14,627","±22,455","±30,014","","±2,770","","±3,730","±11,330","±20,663","±8,317","N","±6,213","±6,840","±3,668","±3,776"
"Napa Valley Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,734","33,355","31,962","4,910","11,460","14,838","2,340","4,732","2,474","12,110","6,259","","29,395","4,144","8,821","8,576","2,866","3,605","1,383","","117,666","","64,863","2,427","2,339","11,174","140","15,941","20,782","41,807","57,446"
"        Margin of Error","","±1,358","±1,431","±1,449","±937","±1,325","±1,125","±704","±1,165","±856","±1,219","±1,145","","±1,371","±780","±1,234","±1,212","±777","±867","±581","","±2,594","","±2,869","±551","±1,187","±807","±178","±3,795","±3,369","±2,508","±1,820"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,734","78.1%","74.8%","11.5%","26.8%","34.7%","5.5%","11.1%","5.8%","28.3%","14.6%","","29,395","14.1%","30.0%","29.2%","9.7%","12.3%","4.7%","","117,666","","55.1%","2.1%","2.0%","9.5%","0.1%","13.5%","17.7%","35.5%","48.8%"
"        Margin of Error","","±1,358","±2.5","±2.7","±2.2","±3.0","±2.3","±1.6","±2.7","±2.0","±2.7","±2.6","","±1,371","±2.5","±4.0","±3.8","±2.6","±3.0","±2.0","","±2,594","","±2.5","±0.5","±1.0","±0.7","±0.2","±3.1","±2.9","±1.7","±1.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","132,765","123,619","117,347","75,901","44,012","22,053","11,463","(X)","7,757","46,380","17,726","","146,088","119,163","109,128","191,539","140,511","169,168","132,048","","48,502","","59,903","30,782","25,286","50,270","N","28,467","31,430","27,242","63,753"
"        Margin of Error","","±9,078","±8,850","±8,624","±30,736","±10,243","±1,681","±2,192","(X)","±2,185","±6,834","±2,822","","±13,124","±27,392","±15,337","±36,203","±33,544","±18,528","±18,078","","±3,252","","±5,775","±11,361","±10,273","±9,616","N","±8,081","±4,531","±3,324","±5,970"
"New Haven Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,953","19,693","19,141","2,360","7,477","6,778","923","2,574","1,811","5,375","3,562","","18,335","2,152","5,513","5,309","1,878","2,284","1,199","","73,094","","11,742","3,778","875","38,883","537","8,808","8,471","18,032","9,287"
"        Margin of Error","","±1,530","±1,413","±1,357","±692","±1,167","±1,107","±366","±811","±733","±950","±934","","±1,187","±638","±1,024","±1,127","±618","±612","±615","","±1,832","","±2,549","±1,893","±496","±3,255","±436","±2,453","±2,181","±3,382","±1,870"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,953","85.8%","83.4%","10.3%","32.6%","29.5%","4.0%","11.2%","7.9%","23.4%","15.5%","","18,335","11.7%","30.1%","29.0%","10.2%","12.5%","6.5%","","73,094","","16.1%","5.2%","1.2%","53.2%","0.7%","12.1%","11.6%","24.7%","12.7%"
"        Margin of Error","","±1,530","±3.4","±3.8","±2.9","±4.4","±4.8","±1.6","±3.4","±3.1","±3.9","±4.0","","±1,187","±3.3","±5.1","±5.5","±3.3","±3.5","±3.5","","±1,832","","±3.5","±2.6","±0.7","±4.5","±0.6","±3.3","±2.9","±4.5","±2.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","155,348","154,257","154,545","33,750","20,238","22,136","12,105","(X)","6,112","27,836","15,352","","166,057","88,847","116,794","221,096","145,822","232,203","193,129","","51,042","","53,285","41,511","26,350","56,956","44,175","45,663","33,611","41,061","55,711"
"        Margin of Error","","±10,930","±11,787","±11,625","±12,455","±10,569","±2,243","±5,757","(X)","±2,000","±5,633","±3,672","","±13,167","±34,652","±19,218","±29,506","±26,386","±40,818","±26,834","","±3,942","","±9,463","±15,652","±9,755","±5,346","±27,941","±10,695","±7,660","±6,455","±10,757"
"Newport-Mesa Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","81,841","66,692","62,194","16,048","25,519","20,335","2,310","6,937","4,317","14,605","10,063","","48,104","6,255","15,809","16,188","5,572","2,974","1,306","","194,860","","118,560","2,826","1,312","20,262","0","22,373","29,527","46,258","115,694"
"        Margin of Error","","±2,868","±2,462","±2,564","±2,249","±2,393","±2,269","±974","±1,346","±1,205","±1,936","±1,772","","±1,857","±1,168","±2,155","±1,804","±1,352","±831","±699","","±1,684","","±6,141","±1,994","±1,049","±4,996","±218","±4,329","±4,185","±4,923","±5,965"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","81,841","81.5%","76.0%","19.6%","31.2%","24.8%","2.8%","8.5%","5.3%","17.8%","12.3%","","48,104","13.0%","32.9%","33.7%","11.6%","6.2%","2.7%","","194,860","","60.8%","1.5%","0.7%","10.4%","0.0%","11.5%","15.2%","23.7%","59.4%"
"        Margin of Error","","±2,868","±2.1","±2.5","±2.8","±2.6","±2.5","±1.2","±1.7","±1.5","±2.1","±2.1","","±1,857","±2.4","±4.0","±3.6","±2.8","±1.8","±1.5","","±1,684","","±3.1","±1.0","±0.5","±2.5","±0.1","±2.2","±2.2","±2.6","±3.0"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","168,935","166,549","156,828","84,354","57,066","21,136","11,168","(X)","8,352","41,099","16,911","","205,361","132,448","182,884","269,436","177,216","205,149","152,985","","72,450","","87,799","30,079","N","88,488","N","29,542","38,229","31,091","89,122"
"        Margin of Error","","±9,355","±10,814","±9,777","±21,143","±11,954","±1,512","±3,074","(X)","±3,056","±6,351","±3,053","","±14,896","±23,905","±29,872","±33,084","±64,958","±48,667","±61,822","","±4,478","","±6,635","±20,762","N","±15,947","N","±6,299","±7,326","±4,960","±6,692"
"Norwalk-La Mirada Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,666","27,248","26,494","3,040","5,408","9,776","2,519","5,065","1,771","6,642","5,657","","26,556","3,111","5,915","6,125","4,935","4,293","2,177","","118,424","","21,288","3,241","4,785","17,667","0","44,850","26,593","81,663","13,229"
"        Margin of Error","","±1,600","±1,536","±1,444","±825","±1,198","±1,215","±710","±1,050","±595","±1,059","±1,066","","±1,347","±895","±1,022","±1,249","±989","±728","±672","","±4,541","","±3,051","±1,408","±2,400","±2,994","±218","±6,430","±4,773","±5,817","±2,461"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,666","83.4%","81.1%","9.3%","16.6%","29.9%","7.7%","15.5%","5.4%","20.3%","17.3%","","26,556","11.7%","22.3%","23.1%","18.6%","16.2%","8.2%","","118,424","","18.0%","2.7%","4.0%","14.9%","0.0%","37.9%","22.5%","69.0%","11.2%"
"        Margin of Error","","±1,600","±3.0","±2.9","±2.5","±3.5","±3.5","±2.1","±3.2","±1.8","±3.2","±3.3","","±1,347","±3.1","±3.6","±4.8","±3.6","±2.5","±2.6","","±4,541","","±2.6","±1.2","±2.0","±2.6","±0.2","±5.0","±3.9","±3.5","±2.1"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","99,749","100,307","99,112","35,291","14,734","17,625","9,838","(X)","5,362","24,672","13,275","","108,157","55,466","75,841","127,213","95,748","165,143","133,398","","28,284","","37,057","28,604","20,013","38,105","N","22,631","25,720","23,968","42,982"
"        Margin of Error","","±5,181","±5,519","±5,826","±8,191","±3,917","±1,957","±1,632","(X)","±2,038","±4,669","±2,775","","±5,920","±9,071","±12,085","±13,109","±8,476","±17,474","±22,528","","±1,535","","±4,878","±12,343","±5,514","±4,639","N","±2,250","±3,458","±1,662","±7,083"
"Oakland Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","170,082","135,454","127,605","27,278","36,511","38,744","11,590","31,075","11,385","30,862","22,836","","93,753","10,380","31,325","29,422","12,403","5,501","4,722","","432,832","","130,369","89,791","6,358","70,855","1,293","82,729","51,437","117,104","122,687"
"        Margin of Error","","±3,764","±3,335","±3,297","±2,826","±2,677","±2,828","±1,660","±2,498","±1,770","±2,925","±2,702","","±2,849","±1,459","±2,553","±2,598","±1,870","±1,267","±995","","±907","","±6,049","±5,652","±3,483","±6,251","±713","±7,893","±4,590","±7,482","±6,010"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","170,082","79.6%","75.0%","16.0%","21.5%","22.8%","6.8%","18.3%","6.7%","18.1%","13.4%","","93,753","11.1%","33.4%","31.4%","13.2%","5.9%","5.0%","","432,832","","30.1%","20.7%","1.5%","16.4%","0.3%","19.1%","11.9%","27.1%","28.3%"
"        Margin of Error","","±3,764","±1.5","±1.7","±1.6","±1.5","±1.5","±1.0","±1.5","±1.0","±1.6","±1.6","","±2,849","±1.5","±2.5","±2.5","±2.0","±1.3","±1.1","","±907","","±1.4","±1.3","±0.8","±1.4","±0.2","±1.8","±1.1","±1.7","±1.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","122,105","126,853","125,680","41,989","32,269","20,408","10,034","(X)","6,269","33,465","17,331","","140,807","56,976","100,013","223,065","100,863","199,909","119,230","","49,834","","80,181","38,308","21,186","48,883","29,937","22,824","41,833","26,271","82,957"
"        Margin of Error","","±5,343","±5,636","±5,742","±4,885","±6,402","±982","±951","(X)","±998","±3,747","±1,594","","±6,848","±9,251","±10,337","±13,704","±11,482","±25,791","±14,048","","±2,220","","±4,391","±4,226","±6,822","±3,812","±11,434","±2,425","±4,551","±2,276","±4,560"
"Oceanside Unified School District, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,706","38,920","37,809","4,752","7,267","10,385","2,796","4,989","1,156","9,406","10,038","","30,636","3,988","11,126","8,563","2,965","2,013","1,981","","137,826","","57,806","6,591","1,602","9,259","499","19,522","42,547","62,509","52,271"
"        Margin of Error","","±2,705","±2,488","±2,520","±1,040","±1,223","±1,265","±930","±1,014","±451","±1,283","±1,654","","±2,393","±891","±1,931","±1,408","±837","±721","±731","","±8,995","","±5,929","±2,005","±1,425","±2,834","±517","±6,043","±7,530","±8,922","±5,569"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,706","81.6%","79.3%","10.0%","15.2%","21.8%","5.9%","10.5%","2.4%","19.7%","21.0%","","30,636","13.0%","36.3%","28.0%","9.7%","6.6%","6.5%","","137,826","","41.9%","4.8%","1.2%","6.7%","0.4%","14.2%","30.9%","45.4%","37.9%"
"        Margin of Error","","±2,705","±2.6","±2.9","±2.2","±2.4","±2.5","±2.0","±2.0","±0.9","±2.6","±3.5","","±2,393","±2.8","±4.7","±4.3","±2.8","±2.3","±2.4","","±8,995","","±4.3","±1.5","±1.0","±2.0","±0.4","±4.3","±4.5","±4.8","±4.1"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","93,488","88,818","87,607","30,402","43,761","20,005","11,378","(X)","6,584","26,000","19,268","","105,645","62,462","93,838","129,653","110,232","115,319","138,424","","33,438","","44,362","27,091","44,938","33,448","N","26,587","22,592","23,533","45,332"
"        Margin of Error","","±5,986","±6,222","±6,211","±7,050","±19,659","±1,859","±4,027","(X)","±3,646","±3,541","±2,664","","±7,040","±14,643","±13,463","±12,599","±21,161","±21,599","±17,598","","±2,448","","±4,592","±5,106","±16,980","±5,834","N","±4,733","±3,921","±2,521","±4,779"
